Dataset,Reads,Reads_wo_S,Richness,Richness_wo_S,Rarefied.richness,H,J,Rarefied J,Simpson,Chao1,ACE
001,8762,8762,235,235,67.1151016189835,3.78417295712799,0.693124587447954,0.899620765627301,0.914119227155965,264.097791593694,262.038461538462
002,13211,13211,281,281,67.3907754055119,3.87130647116875,0.686602155806953,0.919439254771344,0.925243923382318,315.665160178232,330.04347826087
003,17671,17671,298,298,63.4803842800527,3.80838114178638,0.668477909096493,0.917520597792439,0.925170801097267,326.070059843819,334.666666666667
004,14000,14000,266,266,63.4499226462782,3.79718017649934,0.680072120855019,0.914927843965173,0.924122530612245,300.12892513591,309.125
005,5158,5158,160,160,61.3443156561311,3.8398632020036,0.756597378099195,0.932797487751481,0.947363882920496,177.247511611209,181.666666666667
006,7899,7899,194,194,58.158797101302,3.70207354585067,0.702766368050603,0.911127772377635,0.932436493577344,209.996414633942,208.130434782609
007,4107,4107,170,170,66.4861787761636,3.83620867153802,0.746954678723985,0.914037187330733,0.926663539934225,189.049657667575,209.545454545455
008,7156,7156,208,208,67.1068295160348,4.03889960976465,0.756697104443076,0.960205697529574,0.9607071005002,228.096106833235,220.428571428571
009,1993,1993,131,131,58.6164428745539,3.90434288049949,0.80085843129234,0.959058769982101,0.965349621819872,169.508865622379,154.375
010,3114,3114,144,144,65.561379661695,4.00237707955646,0.805337512356434,0.956822785468044,0.963960797756336,161.381780571326,159.333333333333
011,3491,3491,139,139,59.2497206060853,3.95037812396815,0.800567229151785,0.967812192225142,0.968821820417867,161.398014380716,153.772727272727
012,4309,4309,151,151,56.307015330592,3.80634538963355,0.758647217901622,0.944310638474232,0.958731666401059,175.141683301378,172.75
013,3160,3160,103,103,50.5618013550577,3.62109561189326,0.781296084644733,0.922996267245829,0.949786492549271,118.832944915254,114.769230769231
014,3319,3319,113,113,50.47300910311,3.6670866295167,0.775710978270353,0.935138068238236,0.957862466333465,129.265781248684,127
015,16354,16354,121,121,42.9820732150089,3.31330350329622,0.690877441746978,0.881014244000012,0.927493529375422,135.428911650684,133
016,16954,16954,115,115,46.9523107815457,3.52149371954309,0.742158923305362,0.914879856842441,0.946625798229209,147.937472575691,141.25
017,8305,8305,163,163,50.912685939005,3.47990339112729,0.683171190957918,0.885446338516803,0.928475588826211,188.307533863046,196.461538461538
018,4599,4599,117,117,46.9959586896105,3.40607641345317,0.715235617196713,0.884681014514261,0.935154843544696,124.353252324482,126.1
019,13932,13932,202,202,54.1419793255093,3.63503539601646,0.684787505685909,0.910669013023096,0.941274171277265,218.530421547211,215.636363636364
020,5844,5844,114,114,42.3504133126574,3.07425304438495,0.649097177384338,0.820680980041165,0.899668883557482,122.860075896087,121
021,23008,23008,212,212,53.771130830789,3.5141301807565,0.656039126518442,0.881897707772476,0.918267513772799,225.528942195648,220.75
022,5127,5127,95,95,44.1408450988661,3.20205657490606,0.703149569285049,0.845453027048976,0.910584437898787,103.309105445701,104.428571428571
023,1903,1903,133,133,60.6582862970403,3.89520433743334,0.796508436372052,0.948833422170371,0.96263194795175,159.212985399777,157.473684210526
024,5043,5043,109,109,43.4338696120747,3.28202613965891,0.699591294879504,0.870277823146247,0.9199201363613,119.824131581411,118.230769230769
025,2909,2909,91,91,38.8596605604498,2.82556900524173,0.626392597942726,0.772022521007276,0.834191632256126,105.994570725294,106.545454545455
026,2143,2143,66,66,33.7730833994178,2.9607425234067,0.706679358016661,0.841200298924898,0.902992281460284,81.9411776533681,76.5
027,12172,12172,114,114,45.7916983248003,3.27658827439038,0.691818197673093,0.856825360758972,0.911627028151323,121.195026315997,120.875
028,11601,11601,200,200,59.448918825875,3.87964658460623,0.732241260046281,0.949702583763385,0.958748870893627,214.954353827638,216.666666666667
029,12217,12217,199,199,60.1805213655762,3.78240620899834,0.714564215408699,0.923135045122608,0.947549721403469,219.499880563648,214.260869565217
030,10599,10599,205,205,63.2875097679371,3.93323376836846,0.738911590206167,0.948295478420224,0.957465889278986,231.489611884088,231.4
031,5433,5433,116,116,45.7922002158067,3.17983612281778,0.668933583876674,0.831522362923244,0.883588234758045,142.574011478787,143.083333333333
032,6097,6097,121,121,48.2170430684989,3.09420591311386,0.645192045752459,0.798357946788348,0.849573575563113,132.191957300182,133
033,5199,5199,109,109,42.5924178165442,2.87890239554095,0.613662100490619,0.767364293248298,0.814414537602682,122.820204007223,128
034,7411,7411,172,172,63.2688995701124,3.905337172844,0.758687005966753,0.941636429054371,0.950214428689982,192.435067588464,199
035,7232,7232,146,146,52.6043985204619,3.56587231606006,0.715520422604646,0.899836618436134,0.928882442034909,179.933171464909,187.333333333333
036,7732,7732,162,162,60.4580983830766,3.8955315046121,0.765691939361412,0.949677834987454,0.960713921545065,174.438234958592,172.058823529412
037,5086,5086,138,138,55.3968777127514,3.71392581286825,0.753751694185349,0.925122510729041,0.952443763570171,156.137817036004,161
038,9345,9345,156,156,60.3856020660157,3.93806148750232,0.77983639174045,0.960326968272786,0.965392433958813,159.747487241122,157.647058823529
039,2523,2523,75,75,38.1405150834688,3.18108197453947,0.736789978544712,0.87361710813965,0.92624446452133,91.2779605263158,97.6666666666667
040,2412,2412,65,65,36.3351906881864,3.24676453621888,0.777782301041766,0.903689752935422,0.943981378348721,71.0475963726019,67.8
041,4235,4235,76,76,38.2720318207954,3.27029723736405,0.755137058876922,0.897269964471576,0.938810748122758,83.3157141152607,82.4285714285714
042,24405,24405,333,333,72.2364777095234,4.25131401153736,0.731957595543024,0.993310395996422,0.968635260649892,357.881650400132,359.896551724138
043,27278,27278,323,323,74.202054344949,4.3068755122301,0.745436947619551,1.00001942881235,0.971636987047377,341.360178007465,358.0625
044,23938,23938,320,320,75.9091292488256,4.33359286054715,0.751274567366689,1.00093679842916,0.971370588407219,344.981628309914,342.2
045,11595,11595,172,172,51.9068777191114,3.61473908617569,0.70223272748675,0.915250958054981,0.948752285570147,185.687293319643,183.052631578947
046,10144,10144,163,163,51.9294109930823,3.54498659342581,0.695948260844111,0.897491018168062,0.941696335388699,174.010466806429,178.545454545455
047,4575,4575,104,104,43.1630691415321,3.35748525627356,0.722911858451508,0.89176584622193,0.940609370240975,118.352867507817,125.375
048,95910,95910,83,83,18.263328233787,1.88685068399445,0.427001299993779,0.649541756612411,0.704759102293718,88.6055759901914,86.5
049,62305,62305,95,95,24.7573887392659,2.3534181701433,0.516794420702081,0.73335221239929,0.830370093621559,99.1887151183489,98.5
050,22989,22989,53,53,14.3031347364628,1.65682603192765,0.417305847530322,0.622754850845484,0.663700083051634,55.866358403932,54.4285714285714
051,37110,37110,54,54,15.5553712983759,1.67348869576026,0.419527547923298,0.609781750841598,0.67348543417971,55.8589627280868,55
052,80701,80701,88,88,20.2030853001387,1.99728707332319,0.446088189493503,0.664469890662405,0.769990693380274,91.022753025093,90.5
053,38891,38891,45,45,14.2489521788827,1.69048982896057,0.444087132364228,0.636315884056435,0.701180688683382,48.4699607608483,50
054,15079,15079,75,75,25.0777795889536,1.89816549004433,0.439645794065569,0.589129729700905,0.625071790152428,83.8233883255114,86
055,93171,93171,59,59,16.1230837815193,1.96600061865285,0.482153909240302,0.707130362374206,0.771426007070326,63.2168241965974,61
056,43148,43148,51,51,18.1964562916554,2.31135495501043,0.587857949694712,0.796681907987759,0.85349186729433,52.714603115031,51.75
057,35503,35503,57,57,16.3959140976241,1.95362211120573,0.48320488210185,0.69846251207581,0.774369672914376,59.3545014155395,57.75
058,64435,64435,78,78,24.0733217371439,2.41190719947854,0.553607618829834,0.758198101463294,0.839668352993464,80.5100256335662,78.6666666666667
059,38625,38625,88,88,31.518426028757,2.77985968015011,0.62087347799276,0.805622782489297,0.890784572092877,91.2421875,90
060,22312,22312,67,67,23.3524293278357,1.86493420049334,0.443536393574347,0.591910876207868,0.631507503161591,70.0462673611111,68.4285714285714
